lo,hi,suited,win,tie,loss
4,9,0,371820,54246,563934
1,12,0,635462,18790,335748
1,6,0,558164,35762,396074
3,11,1,469019,41056,479925
1,2,0,525636,43337,421027
3,3,0,531798,14123,444079
1,1,0,842739,5446,141815
2,7,1,350102,56317,583581
1,6,1,585678,34735,369587
4,9,1,417413,47817,524770
1,12,1,655221,15760,319019
3,12,0,461986,43026,484988
1,2,1,540485,35904,413611
3,4,0,329037,60758,600205
2,8,0,313417,57242,619341
5,6,1,391728,57857,540415
1,7,0,580165,31062,378773
4,10,0,403764,47898,538338
3,12,1,481349,43103,465548
1,13,0,639485,16915,333600
1,3,0,542270,41369,406361
3,4,1,363031,63542,563427
5,7,0,362174,60555,567271
2,8,1,371273,52890,565837
1,7,1,593149,28857,367994
3,5,0,337016,62140,590844
4,10,1,440232,44644,505124
1,13,1,641341,20132,328527
3,13,0,492280,44387,453333
1,3,1,558420,34844,396736
5,7,1,415920,50776,523304
2,9,0,359415,50813,579772
1,8,0,590386,31460,368154
4,11,0,410824,46519,532657
2,2,0,490106,16135,483759
3,5,1,356789,55886,577325
1,4,0,544086,40672,405242
3,13,1,514998,37379,437623
5,8,0,384570,52260,553170
2,9,1,393565,49297,547138
1,8,1,589129,30301,370570
4,11,1,481685,45465,462850
2,3,0,286753,65832,637415
1,4,1,570981,36112,382907
4,4,0,541241,13569,435190
3,6,0,346142,59101,584757
2,10,0,395567,50436,543997
5,8,1,415019,49069,525912
1,9,0,581034,26145,382821
4,12,0,454117,42194,493689
2,3,1,322677,57713,609610
1,5,0,556507,39968,393525
2,10,1,411638,44359,534003
3,6,1,355181,56793,578026
4,5,0,347141,61611,581248
5,9,0,414928,48991,526081
1,9,1,607231,23204,359565
4,12,1,484983,43019,461998
2,4,0,298934,61600,629466
1,5,1,570812,36916,382272
3,7,0,345154,56465,588381
2,11,0,414136,44583,531281
4,5,1,388456,57138,544406
5,9,1,438690,50242,501068
1,10,0,614033,21908,354059
4,13,0,486111,42134,461755
2,4,1,344965,58915,586120
2,11,1,450459,43441,496100
3,7,1,364476,56203,569321
5,11,1,473264,40071,476665
4,6,0,349130,56646,584224
5,10,0,425178,45736,519086
1,10,1,628234,23178,338588
4,13,1,529041,38271,422688
2,12,0,441488,41886,506626
2,5,0,298445,56194,635361
4,6,1,371658,54467,563875
5,12,0,479067,43863,467070
3,8,0,339739,54036,596225
5,10,1,442989,47348,499663
1,11,0,618248,19865,351887
2,5,1,341585,61561,586854
2,12,1,479840,38034,472126
5,5,0,592467,13791,383742
5,12,1,509991,42826,437183
3,8,1,380108,51257,558635
4,7,0,351979,52575,585446
5,11,0,447043,46002,496955
1,11,1,632050,19667,338283
2,6,0,299606,57969,632425
2,13,0,475935,43650,470415
5,13,0,507172,39969,442859
5,6,0,360136,54525,575339
3,9,0,366171,52495,571334
4,7,1,398984,53010,538006
6,8,1,440920,47188,501892
6,12,1,518278,38898,432824
2,6,1,351074,52220,586706
7,9,1,466975,41116,481909
5,13,1,543586,39320,407094
2,13,1,504492,39320,446188
4,8,0,363118,52302,574580
3,9,1,429924,43791,516285
6,9,0,403140,50625,536235
6,13,0,523782,36972,429246
2,7,0,325042,53982,610976
7,12,1,516929,30417,442654
7,10,0,443409,40422,506169
6,6,0,625884,11657,352459
4,8,1,397294,57200,535506
3,10,0,384904,50555,554541
6,9,1,453193,44542,492265
6,13,1,540932,39189,409879
7,10,1,488458,38057,463485
8,9,1,503146,40393,446461
7,13,0,521616,33207,435177
6,7,0,387673,54252,548075
3,10,1,426806,45361,517833
8,12,0,531921,36363,421716
6,10,0,445469,44058,500473
7,7,0,646380,11483,332137
7,11,0,483673,39608,466719
7,13,1,547215,32809,409976
8,10,0,461444,37669,490887
3,11,0,430853,41442,517705
6,7,1,409135,49717,531148
8,12,1,548834,31499,409667
6,10,1,453341,45046,491613
7,8,0,420680,49191,520129
7,11,1,493388,36437,460175
8,8,0,665290,11087,313623
9,9,0,715789,6969,267242
8,13,0,532088,29473,428439
6,8,0,406165,50112,533723
8,10,1,507605,30489,451906
6,11,0,454057,43158,492785
7,8,1,462213,48878,478909
8,9,0,460225,42075,487700
7,12,0,487101,37199,465700
9,10,0,478771,32493,478736
8,13,1,567066,27813,395121
8,11,0,477067,36744,476189
9,11,1,546282,31105,412613
6,11,1,487860,42798,459342
7,9,0,436957,45540,507503
10,11,0,532980,30079,426941
9,13,0,554777,32740,402483
9,10,1,510441,35872,443687
9,12,0,534250,33457,422293
8,11,1,515483,27923,446594
10,12,0,534292,26822,428886
6,12,0,489403,42259,458338
10,13,0,581840,22127,386033
10,11,1,562192,27270,400538
9,13,1,578271,27219,384510
9,11,0,496866,33921,459213
9,12,1,579108,30008,380884
11,11,0,755488,10401,224111
11,12,1,596610,21299,372091
10,12,1,572964,25720,391316
10,10,0,734301,6825,248874
11,13,1,604592,17287,368121
10,13,1,601738,23623,364639
11,13,0,593220,20736,376044
12,12,0,793306,3311,193383
11,12,0,567877,19615,402508
12,13,1,620994,17917,351089
12,13,0,609047,18583,362370
13,13,0,809058,5711,175231
